,Program Adı,Alt Program Adı,Faaliyet Adı,Kurum/Birim,Alt Faaliyet Adı,Finansman,Ekonomik,Tertip,İşlemler,2022,2023,2024,2021 YSHT,2022 Tavan Üstü,2021 KBÖ
,"ENERJİ ARZ GÜVENLİĞİ, VERİMLİLİĞİ VE ENERJİ PİYASASI",ELEKTRİK PİYASASINDA KAMU SERMAYELİ KURULUŞLAR ARACILIĞIYLA YÜRÜTÜLEN HİZMETLER,"Elektrik Üretimi, İletimi, Dağıtımı ve Ticaretine İlişkin Faaliyetler",KAMU SERMAYELİ KURULUŞ VE İŞLETMELER GENEL MÜDÜRLÜĞÜ,"Elektrik Üretimi, İletimi, Dağıtımı ve Ticaretine İlişkin Faaliyetler",Genel Bütçeli İdareler,Elektrik Üretim A.Ş.'ye,18.94.249.193-0012.0040-01-08.01.60.06,,"1,913,549,000.00",0.00,0.00,0.00,0.00,0.00
-> Enerji Piyasası Düzenleme Kurumuna Verilen Paylar,,,,,,,,,,0.00,0.00,"546,000.00",0.00,0.00,0.00
,"ENERJİ ARZ GÜVENLİĞİ, VERİMLİLİĞİ VE ENERJİ PİYASASI",ENERJİ PİYASASININ DÜZENLENMESİ,Enerji Piyasası Düzenleme Kurumuna Verilen Paylar,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Enerji Piyasası Düzenleme Kurumuna Verilen Paylar,Genel Bütçeli İdareler,Enerji Piyasası Düzenleme Kurumuna Verilen Paylar,18.80.874.17131-0012.0032-01-05.08.30.01,,"423,000.00","489,000.00","546,000.00",0.00,0.00,0.00
"-> Kömürün Aranması, İşlenmesi ve Ticaretine İlişkin Faaliyetler",,,,,,,,,,0.00,0.00,"2,150,000,000.00",0.00,0.00,"1,500,000,000.00"
,"ENERJİ ARZ GÜVENLİĞİ, VERİMLİLİĞİ VE ENERJİ PİYASASI",KÖMÜR MADENLERİ ALANINDA KAMU SERMAYELİ KURULUŞLAR ARACILIĞIYLA YÜRÜTÜLEN HİZMETLER,"Kömürün Aranması, İşlenmesi ve Ticaretine İlişkin Faaliyetler",KAMU SERMAYELİ KURULUŞ VE İŞLETMELER GENEL MÜDÜRLÜĞÜ,"Kömürün Aranması, İşlenmesi ve Ticaretine İlişkin Faaliyetler",Genel Bütçeli İdareler,Türkiye Taşkömürü Kurumu'na,18.96.253.197-0012.0040-01-08.01.60.09,,"1,810,000,000.00","2,000,000,000.00","2,150,000,000.00",0.00,0.00,"1,500,000,000.00"
-> Petrol ve Petrol Ürünleri ile Doğal Gazın Nakliyesi ve Ticareti ile Boru Hatlarının İnşasına İlişkin Faaliyetler,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,"10,000,000.00"
,"ENERJİ ARZ GÜVENLİĞİ, VERİMLİLİĞİ VE ENERJİ PİYASASI",PETROL VE DOĞALGAZ PİYASASINDA KAMU SERMAYELİ KURULUŞLAR ARACILIĞIYLA YÜRÜTÜLEN HİZMETLER,Petrol ve Petrol Ürünleri ile Doğal Gazın Nakliyesi ve Ticareti ile Boru Hatlarının İnşasına İlişkin Faaliyetler,KAMU SERMAYELİ KURULUŞ VE İŞLETMELER GENEL MÜDÜRLÜĞÜ,Petrol ve Petrol Ürünleri ile Doğal Gazın Nakliyesi ve Ticareti ile Boru Hatlarının İnşasına İlişkin Faaliyetler,Genel Bütçeli İdareler,Boru Hatları ile Petrol Taşıma A.Ş.'ye,18.95.252.196-0012.0040-01-08.01.60.23,,"11,360,000,000.00","6,360,000,000.00",0.00,0.00,0.00,"10,000,000.00"
-> Hidrolik Kaynaklara Dayalı Elektrik Üretim Lisans Harçlarından Mahalli İdarelere Ayrılan Paylar,,,,,,,,,,0.00,0.00,"276,197,000.00",0.00,0.00,0.00
,"ENERJİ ARZ GÜVENLİĞİ, VERİMLİLİĞİ VE ENERJİ PİYASASI",YENİLENEBİLİR ENERJİ,Hidrolik Kaynaklara Dayalı Elektrik Üretim Lisans Harçlarından Mahalli İdarelere Ayrılan Paylar,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Hidrolik Kaynaklara Dayalı Elektrik Üretim Lisans Harçlarından Mahalli İdarelere Ayrılan Paylar,Genel Bütçeli İdareler,Hidrolik Kaynaklara Dayalı Elektrik Üretim Lisans Harçlarından Mahalli İdarelere Ayrılan Paylar,18.61.873.17132-0012.0032-01-05.08.50.05,,"211,329,000.00","245,929,000.00","276,197,000.00",0.00,0.00,0.00
-> Özel Eğitimde Taşıma Yoluyla Eğitime Erişim,,,,,,,,,,0.00,0.00,"1,651,000,000.00",0.00,0.00,"954,000,000.00"
,ENGELLİLERİN TOPLUMSAL HAYATA KATILIMI VE ÖZEL EĞİTİM,EĞİTİME ERİŞİM VE FIRSAT EŞİTLİĞİ,Özel Eğitimde Taşıma Yoluyla Eğitime Erişim,MUHASEBAT GENEL MÜDÜRLÜĞÜ (MERKEZ),Özel Eğitimde Taşıma Yoluyla Eğitime Erişim,Genel Bütçeli İdareler,Sosyal Yardımlaşma ve Dayanışmayı Teşvik Fonuna Verilen Paylar,6.98.255.9930-0012.0032-01-05.08.60.02,,"1,264,000,000.00","1,451,000,000.00","1,651,000,000.00",0.00,0.00,"954,000,000.00"
-> Özel Eğitim Hizmetleri,,,,,,,,,,0.00,0.00,"4,692,000.00",0.00,0.00,0.00
,ENGELLİLERİN TOPLUMSAL HAYATA KATILIMI VE ÖZEL EĞİTİM,ÖZEL EĞİTİM VE REHBERLİK,Özel Eğitim Hizmetleri,KAMU SERMAYELİ KURULUŞ VE İŞLETMELER GENEL MÜDÜRLÜĞÜ,Özel Eğitim Hizmetleri,Genel Bütçeli İdareler,Türkiye Kömür İşletmeleri Kurumu'na,6.145.399.17379-0012.0040-01-05.01.10.15,,"4,000,000.00","4,350,000.00","4,692,000.00",0.00,0.00,0.00
-> Girişim Sermayesi Ekosisteminin Geliştirilmesi,,,,,,,,,,0.00,0.00,"424,799,000.00",0.00,0.00,"265,314,000.00"
,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ VE SİGORTACILIK,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,FİNANSAL PİYASALAR VE KAMBİYO GENEL MÜDÜRLÜĞÜ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,Genel Bütçeli İdareler,Temel Maaşlar,14.39.258.202-0012.0044-01-01.01.10.01,,"931,000.00","1,079,000.00","1,202,000.00",0.00,0.00,"525,000.00"
,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ VE SİGORTACILIK,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,FİNANSAL PİYASALAR VE KAMBİYO GENEL MÜDÜRLÜĞÜ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,Genel Bütçeli İdareler,Taban Aylığı,14.39.258.202-0012.0044-01-01.01.10.02,,"226,000.00","262,000.00","292,000.00",0.00,0.00,"168,000.00"
,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ VE SİGORTACILIK,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,FİNANSAL PİYASALAR VE KAMBİYO GENEL MÜDÜRLÜĞÜ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,Genel Bütçeli İdareler,Zamlar ve Tazminatlar,14.39.258.202-0012.0044-01-01.01.20.01,,"227,000.00","263,000.00","293,000.00",0.00,0.00,"190,000.00"
,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ VE SİGORTACILIK,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,FİNANSAL PİYASALAR VE KAMBİYO GENEL MÜDÜRLÜĞÜ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,Genel Bütçeli İdareler,Ödenekler,14.39.258.202-0012.0044-01-01.01.30.01,,"1,000.00","1,000.00","1,000.00",0.00,0.00,"1,000.00"
,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ VE SİGORTACILIK,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,FİNANSAL PİYASALAR VE KAMBİYO GENEL MÜDÜRLÜĞÜ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,Genel Bütçeli İdareler,Sosyal Haklar,14.39.258.202-0012.0044-01-01.01.40.01,,"9,000.00","10,000.00","11,000.00",0.00,0.00,"8,000.00"
,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ VE SİGORTACILIK,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,FİNANSAL PİYASALAR VE KAMBİYO GENEL MÜDÜRLÜĞÜ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,Genel Bütçeli İdareler,Kadro Karşılığı Sözleşmeli Personel Ücretleri,14.39.258.202-0012.0044-01-01.02.10.02,,"332,000.00","385,000.00","429,000.00",0.00,0.00,"296,000.00"
,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ VE SİGORTACILIK,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,FİNANSAL PİYASALAR VE KAMBİYO GENEL MÜDÜRLÜĞÜ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,Genel Bütçeli İdareler,Kadro Karşılığı Sözleşmeli Personel Zam ve Tazminatları,14.39.258.202-0012.0044-01-01.02.20.02,,"96,000.00","111,000.00","124,000.00",0.00,0.00,"228,000.00"
,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ VE SİGORTACILIK,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,FİNANSAL PİYASALAR VE KAMBİYO GENEL MÜDÜRLÜĞÜ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,Genel Bütçeli İdareler,Kadro Karşılığı Sözleşmeli Personel Sosyal Hakları,14.39.258.202-0012.0044-01-01.02.40.02,,"2,000.00","2,000.00","2,000.00",0.00,0.00,"2,000.00"
,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ VE SİGORTACILIK,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,FİNANSAL PİYASALAR VE KAMBİYO GENEL MÜDÜRLÜĞÜ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,Genel Bütçeli İdareler,Kadro Karşılığı Sözleşmeli Personelin Ek Çalışma Karşılıkları,14.39.258.202-0012.0044-01-01.02.50.02,,"14,000.00","16,000.00","18,000.00",0.00,0.00,"11,000.00"
,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ VE SİGORTACILIK,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,FİNANSAL PİYASALAR VE KAMBİYO GENEL MÜDÜRLÜĞÜ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,Genel Bütçeli İdareler,Kadro Karşılığı Sözleşmeli Personelin Ödül ve İkramiyeleri,14.39.258.202-0012.0044-01-01.02.60.02,,"121,000.00","140,000.00","156,000.00",0.00,0.00,"105,000.00"
,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ VE SİGORTACILIK,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,FİNANSAL PİYASALAR VE KAMBİYO GENEL MÜDÜRLÜĞÜ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,Genel Bütçeli İdareler,Sosyal Güvenlik Primi Ödemeleri,14.39.258.202-0012.0044-01-02.01.10.01,,"166,000.00","193,000.00","215,000.00",0.00,0.00,"135,000.00"
,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ VE SİGORTACILIK,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,FİNANSAL PİYASALAR VE KAMBİYO GENEL MÜDÜRLÜĞÜ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,Genel Bütçeli İdareler,Sağlık Primi Ödemeleri,14.39.258.202-0012.0044-01-02.01.10.02,,"115,000.00","133,000.00","148,000.00",0.00,0.00,"96,000.00"
,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ VE SİGORTACILIK,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,FİNANSAL PİYASALAR VE KAMBİYO GENEL MÜDÜRLÜĞÜ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,Genel Bütçeli İdareler,Sosyal Güvenlik Primi Ödemeleri,14.39.258.202-0012.0044-01-02.02.10.01,,"47,000.00","55,000.00","61,000.00",0.00,0.00,"39,000.00"
,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ VE SİGORTACILIK,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,FİNANSAL PİYASALAR VE KAMBİYO GENEL MÜDÜRLÜĞÜ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,Genel Bütçeli İdareler,Sağlık Primi Ödemeleri,14.39.258.202-0012.0044-01-02.02.10.02,,"25,000.00","29,000.00","32,000.00",0.00,0.00,"20,000.00"
,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ VE SİGORTACILIK,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,FİNANSAL PİYASALAR VE KAMBİYO GENEL MÜDÜRLÜĞÜ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,Genel Bütçeli İdareler,Kırtasiye Alımları,14.39.258.202-0012.0044-01-03.02.10.01,,"18,000.00","20,000.00","22,000.00",0.00,0.00,"13,000.00"
,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ VE SİGORTACILIK,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,FİNANSAL PİYASALAR VE KAMBİYO GENEL MÜDÜRLÜĞÜ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,Genel Bütçeli İdareler,Yurtiçi Geçici Görev Yollukları,14.39.258.202-0012.0044-01-03.03.10.01,,"85,000.00","92,000.00","99,000.00",0.00,0.00,"80,000.00"
,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ VE SİGORTACILIK,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,FİNANSAL PİYASALAR VE KAMBİYO GENEL MÜDÜRLÜĞÜ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,Genel Bütçeli İdareler,Yurtdışı Geçici Görev Yollukları,14.39.258.202-0012.0044-01-03.03.10.03,,"54,000.00","59,000.00","64,000.00",0.00,0.00,"70,000.00"
,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ VE SİGORTACILIK,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,FİNANSAL PİYASALAR VE KAMBİYO GENEL MÜDÜRLÜĞÜ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,Genel Bütçeli İdareler,Yurtiçi Sürekli Görev Yollukları,14.39.258.202-0012.0044-01-03.03.20.01,,"3,000.00","3,000.00","3,000.00",0.00,0.00,"3,000.00"
,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ VE SİGORTACILIK,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,FİNANSAL PİYASALAR VE KAMBİYO GENEL MÜDÜRLÜĞÜ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,Genel Bütçeli İdareler,Kurslara Katılma ve Eğitim Giderleri,14.39.258.202-0012.0044-01-03.05.90.03,,"55,000.00","60,000.00","65,000.00",0.00,0.00,0.00
,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ VE SİGORTACILIK,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,FİNANSAL PİYASALAR VE KAMBİYO GENEL MÜDÜRLÜĞÜ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,Genel Bütçeli İdareler,"Temsil, Tanıtma ve Ağırlama Giderleri",14.39.258.202-0012.0044-01-03.06.10.01,,"10,000.00","11,000.00","12,000.00",0.00,0.00,"8,000.00"
,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ VE SİGORTACILIK,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,FİNANSAL PİYASALAR VE KAMBİYO GENEL MÜDÜRLÜĞÜ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,Genel Bütçeli İdareler,Büro ve İşyeri Mal ve Malzeme Alımları,14.39.258.202-0012.0044-01-03.07.10.01,,"15,000.00","16,000.00","17,000.00",0.00,0.00,"22,000.00"
,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ VE SİGORTACILIK,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,FİNANSAL PİYASALAR VE KAMBİYO GENEL MÜDÜRLÜĞÜ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,Genel Bütçeli İdareler,Makine Teçhizat Bakım ve Onarım Giderleri,14.39.258.202-0012.0044-01-03.07.30.02,,"10,000.00","11,000.00","12,000.00",0.00,0.00,0.00
,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ VE SİGORTACILIK,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,FİNANSAL PİYASALAR VE KAMBİYO GENEL MÜDÜRLÜĞÜ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,Genel Bütçeli İdareler,Kar Amacı Gütmeyen Diğer Kuruluşlara,14.39.258.202-0012.0044-01-05.03.10.90,,"24,821,000.00","26,994,000.00","29,115,000.00",0.00,0.00,"21,989,000.00"
,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ VE SİGORTACILIK,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,FİNANSAL PİYASALAR VE KAMBİYO GENEL MÜDÜRLÜĞÜ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,Genel Bütçeli İdareler,Konut Hesabı Devlet Katkısı,14.39.258.202-0012.0044-01-05.04.80.19,,0.00,0.00,0.00,0.00,0.00,"5,499,000.00"
,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ VE SİGORTACILIK,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,FİNANSAL PİYASALAR VE KAMBİYO GENEL MÜDÜRLÜĞÜ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,Genel Bütçeli İdareler,Uluslararası Kuruluşlara Katkı Ödemeleri,14.39.258.202-0012.0044-01-05.06.20.02,,0.00,0.00,0.00,0.00,0.00,"160,000.00"
,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ VE SİGORTACILIK,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,FİNANSAL PİYASALAR VE KAMBİYO GENEL MÜDÜRLÜĞÜ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,Genel Bütçeli İdareler,Diğer Fonlara,14.39.258.202-0012.0044-01-08.01.63.90,,"121,405,000.00","132,034,000.00","142,406,000.00",0.00,0.00,"107,550,000.00"
,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ VE SİGORTACILIK,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,FİNANSAL PİYASALAR VE KAMBİYO GENEL MÜDÜRLÜĞÜ,Girişim Sermayesi Ekosisteminin Geliştirilmesi,Genel Bütçeli İdareler,Diğer Yurtdışı Borç Verme,14.39.258.202-0012.0044-01-08.02.90.90,,"250,000,000.00","250,000,000.00","250,000,000.00",0.00,0.00,"128,096,000.00"
-> Hazine Destekli Kredi Kefalet Uygulaması Kapsamında Kredi Garanti Fonuna Kaynak Aktarımı,,,,,,,,,,0.00,0.00,"3,207,000.00",0.00,0.00,"2,011,000.00"
,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ VE SİGORTACILIK,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ,Hazine Destekli Kredi Kefalet Uygulaması Kapsamında Kredi Garanti Fonuna Kaynak Aktarımı,FİNANSAL PİYASALAR VE KAMBİYO GENEL MÜDÜRLÜĞÜ,Finansal Tabana Yayılma Faaliyetleri,Genel Bütçeli İdareler,Temel Maaşlar,14.39.257.201-0012.0044-01-01.01.10.01,,"931,000.00","1,079,000.00","1,202,000.00",0.00,0.00,"524,000.00"
,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ VE SİGORTACILIK,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ,Hazine Destekli Kredi Kefalet Uygulaması Kapsamında Kredi Garanti Fonuna Kaynak Aktarımı,FİNANSAL PİYASALAR VE KAMBİYO GENEL MÜDÜRLÜĞÜ,Finansal Tabana Yayılma Faaliyetleri,Genel Bütçeli İdareler,Taban Aylığı,14.39.257.201-0012.0044-01-01.01.10.02,,"226,000.00","262,000.00","292,000.00",0.00,0.00,"168,000.00"
,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ VE SİGORTACILIK,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ,Hazine Destekli Kredi Kefalet Uygulaması Kapsamında Kredi Garanti Fonuna Kaynak Aktarımı,FİNANSAL PİYASALAR VE KAMBİYO GENEL MÜDÜRLÜĞÜ,Finansal Tabana Yayılma Faaliyetleri,Genel Bütçeli İdareler,Zamlar ve Tazminatlar,14.39.257.201-0012.0044-01-01.01.20.01,,"227,000.00","263,000.00","293,000.00",0.00,0.00,"190,000.00"
,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ VE SİGORTACILIK,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ,Hazine Destekli Kredi Kefalet Uygulaması Kapsamında Kredi Garanti Fonuna Kaynak Aktarımı,FİNANSAL PİYASALAR VE KAMBİYO GENEL MÜDÜRLÜĞÜ,Finansal Tabana Yayılma Faaliyetleri,Genel Bütçeli İdareler,Sosyal Haklar,14.39.257.201-0012.0044-01-01.01.40.01,,"8,000.00","9,000.00","10,000.00",0.00,0.00,"7,000.00"
,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ VE SİGORTACILIK,FİNANSAL SİSTEMİN GELİŞTİRİLMESİ,Hazine Destekli Kredi Kefalet Uygulaması Kapsamında Kredi Garanti Fonuna Kaynak Aktarımı,FİNANSAL PİYASALAR VE KAMBİYO GENEL MÜDÜRLÜĞÜ,Finansal Tabana Yayılma Faaliyetleri,Genel Bütçeli İdareler,Kadro Karşılığı Sözleşmeli Personel Ücretleri,14.39.257.201-0012.0044-01-01.02.10.02,,"331,000.00","384,000.00","428,000.00",0.00,0.00,"295,000.00"
